file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; 120sdatabs ; 0:00.65  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; 120sdatabsacker ; 0:00.71  ; 120sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2acker ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.21 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2c2 ; 0:00.15  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; dataabs2c2acker ; 0:00.21  ; 120sz3 ; unsat      ; 0:00.64 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabs ; 0:00.64  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabsacker ; 0:00.81  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2 ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.05 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2acker ; 0:00.04  ; 120sz3 ; unsat      ; 0:00.21 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2c2 ; 0:00.14  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; dataabs2c2acker ; 0:00.19  ; 120sz3 ; unsat      ; 0:00.66 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.08 
