file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; sat      ; 0:06.42 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.02 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabs ; 0:01.73  ; 30sz3 ; timeout solver      ; 0:30.00 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabsacker ; 0:01.57  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted1 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.04 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted1 ; 0:00.00  ; noabs ; 0:00.02  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabs ; 0:01.68  ; 30sz3 ; timeout solver      ; 0:30.03 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabsacker ; 0:01.98  ; 30sz3 ; timeout solver      ; 0:30.02 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted2 ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.05 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavahinted2 ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted ; 0:00.02  ; 120sdatabs ; 0:01.88  ; 30sz3 ; sat      ; 0:00.39 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted ; 0:00.02  ; 120sdatabsacker ; 0:01.95  ; 30sz3 ; sat      ; 0:00.30 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted ; 0:00.02  ; 30svaphor ; 0:00.00  ; 30sz3 ; sat      ; 0:06.53 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted ; 0:00.02  ; noabs ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted1 ; 0:00.04  ; 120sdatabs ; 0:01.71  ; 30sz3 ; sat      ; 0:00.35 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted1 ; 0:00.04  ; 120sdatabsacker ; 0:01.88  ; 30sz3 ; sat      ; 0:00.35 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted1 ; 0:00.04  ; 30svaphor ; 0:00.00  ; 30sz3 ; timeout solver      ; 0:30.03 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted1 ; 0:00.04  ; noabs ; 0:00.00  ; 30sz3 ; timeout solver      ; 0:30.02 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted2 ; 0:00.01  ; 120sdatabs ; 0:02.16  ; 30sz3 ; sat      ; 0:00.50 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted2 ; 0:00.01  ; 120sdatabsacker ; 0:01.70  ; 30sz3 ; sat      ; 0:00.29 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted2 ; 0:00.01  ; 30svaphor ; 0:00.02  ; 30sz3 ; timeout solver      ; 0:30.03 
ModifiedSAS16exp/Correct/esop2010_arrayappend ; 10scvjavaoldhinted2 ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; timeout solver      ; 0:30.03 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjava ; 0:00.00  ; 120sdatabs ; 0:00.60  ; 30sz3 ; timeout solver      ; 0:30.01 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:00.57  ; 30sz3 ; timeout solver      ; 0:30.03 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjava ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.04 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjava ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.02 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjavahinted ; 0:00.00  ; 120sdatabs ; 0:00.78  ; 30sz3 ; sat      ; 0:00.44 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjavahinted ; 0:00.00  ; 120sdatabsacker ; 0:01.01  ; 30sz3 ; sat      ; 0:00.32 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjavahinted ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.03 
ModifiedSAS16exp/Correct/esop2010_array_copy ; 10scvjavahinted ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; timeout solver      ; 0:30.01 
